

	//Hero Names for Dota 2

		"npc_dota_hero_queenofpain"         	"Akasha |Queen of Pain"
    		"npc_dota_hero_enigma"              	"Enigma |Consumer of Worlds"
    		"npc_dota_hero_tinker"              	"Boush |Tinker"
    		"npc_dota_hero_sniper"              	"Kardell |Sniper"
    		"npc_dota_hero_necrolyte"           	"Rotund'jere |Necrophos'"
    		"npc_dota_hero_warlock"             	"Demnok |Warlock"
    		"npc_dota_hero_beastmaster"         	"Karroch |Beastmaster"
    		"npc_dota_hero_venomancer"          	"Lesale |Venomancer"
    		"npc_dota_hero_faceless_void"           	"Darkterror |Faceless Void"
    		"npc_dota_hero_death_prophet"           	"Krobelus |Death Prophet"
    		"npc_dota_hero_pugna"               	"Pugna |Oblivion"
    		"npc_dota_hero_templar_assassin"      	"Lanaya |Templar Assassin"
    		"npc_dota_hero_viper"               	"Viper |Netherdrake"
		"npc_dota_hero_luna"                	"Luna |Moon Rider"
    		"npc_dota_hero_dragon_knight"           	"Davion |Dragon Knight"
    		"npc_dota_hero_dazzle"              	"Dazzle |Shadow Priest"
    		"npc_dota_hero_rattletrap"          	"Rattletrap |Clockwerk"
    		"npc_dota_hero_leshrac"             	"Leshrac |Tormented Soul"
    		"npc_dota_hero_furion"              	"Furion |Natures Profit"
		"npc_dota_hero_life_stealer"            	"N'aix |Lifestealer"
    		"npc_dota_hero_dark_seer"           	"Ish'kafel |Dark Seer"
    		"npc_dota_hero_clinkz"              	"Clinkz |Bone Fletcher"
    		"npc_dota_hero_omniknight"          	"Thunderwrath |Omniknight"
    		"npc_dota_hero_enchantress"         	"Aiushtha |Enchantress"
    		"npc_dota_hero_huskar"              	"Huskar |Sacred Warrior"
    		"npc_dota_hero_night_stalker"           	"Balanar |Night Stalker"
    		"npc_dota_hero_broodmother"         	"Black Arachnia |Broodmother"
    		"npc_dota_hero_bounty_hunter"           	"Gondar |Bounty Hunter"
    		"npc_dota_hero_weaver"              	"Skitskurr |Time Weaver"
    		"npc_dota_hero_jakiro"              	"Jakiro |Twin Head Dragon"
    		"npc_dota_hero_batrider"            	"Jin'zakk |Batrider"
    		"npc_dota_hero_chen"                	"Chen |Holy Knight"
    		"npc_dota_hero_spectre"             	"Mercurial |Spectre"
    		"npc_dota_hero_doom_bringer"            	"Lucifer |Doombringer"
    		"npc_dota_hero_ancient_apparition"      	"Kaldr |Ancient Apparition"
    		"npc_dota_hero_ursa"                	"Ulfsaar |Ursa"
    		"npc_dota_hero_spirit_breaker"          	"Barathrum |Spirit Breaker"
		"npc_dota_hero_gyrocopter"          	"Aurel |Gyrocopter"
    		"npc_dota_hero_alchemist"           	"Darkbrew |Alchemist"
    		"npc_dota_hero_invoker"             	"Carl |Invoker"
    		"npc_dota_hero_silencer"            	"Nortrom |Silencer"
    		"npc_dota_hero_obsidian_destroyer"    	"Harbinger |Outworld Devourer"
    		"npc_dota_hero_lycan"               	"Banehallow |Lycanthrope"
    		"npc_dota_hero_brewmaster"          	"Mangix |Brewmaster"
    		"npc_dota_hero_shadow_demon"        	"Eredar |Shadow Demon"
    		"npc_dota_hero_lone_druid"          	"Syllabear |Lone Druid"
    		"npc_dota_hero_chaos_knight"        	"Nessaj |Chaos Knight"
    		"npc_dota_hero_treant"              	"Rooftrellen |Treant Protector"
    		"npc_dota_hero_meepo"               	"Meepo |Geomancer"
    		"npc_dota_hero_ogre_magi"           	"Stonebreak |Ogre Magi"
    		"npc_dota_hero_undying"             	"Dirge |Undying"
    		"npc_dota_hero_rubick"              	"Rubick |Grand Magus"
    		"npc_dota_hero_disruptor"           	"Disruptor |Stormcrafter"
    		"npc_dota_hero_nyx_assassin"            	"Scratch |Nyx Assassin"
    		"npc_dota_hero_naga_siren"          	"Slithice |Naga Siren"
    		"npc_dota_hero_keeper_of_the_light"   	"Ezalor |Keeper of the Light"
    		"npc_dota_hero_visage"              	"Visage |Bound Form"
    		"npc_dota_hero_wisp"                	"Io |Wisp"
    		"npc_dota_hero_slark"               	"Slark |Nightcrawler"
    		"npc_dota_hero_medusa"              	"Medusa |Gorgon"
    		"npc_dota_hero_troll_warlord"           	"Jah'rakal |Troll Warlord"
    		"npc_dota_hero_centaur"             	"Bradwarden |Centaur Warrunner"
    		"npc_dota_hero_magnataur"           	"Magnus |Magnoceros"
    		"npc_dota_hero_shredder"            	"Rizzrack |Timbersaw"
		"npc_dota_hero_bristleback"         	"Rigwarl |Bristleback"
		"npc_dota_hero_tusk"                	"Ymir |Tusk"
    		"npc_dota_hero_skywrath_mage"         	"Dragonus |Skywrath Mage"
		"npc_dota_hero_abaddon"             	"Abaddon |Lord of Avernus"
		"npc_dota_hero_elder_titan"         	"Elder Titan |Worldsmith"	
		"npc_dota_hero_legion_commander"    	"Tresdin |Legion Commander"
		"npc_dota_hero_ember_spirit"            	"Xin |Ember Spirit"
		"npc_dota_hero_earth_spirit"            	"Kaolin |Earth Spirit"
		"npc_dota_hero_abyssal_underlord"      "Vrogros |Underlord"
		"npc_dota_hero_phoenix"		"Icarus |Phoenix"
		"npc_dota_hero_terrorblade"		"Terrorblade |Soul Keeper"
		"npc_dota_hero_oracle"		"Nerif |Oracle"
		"npc_dota_hero_techies"		"Squee Spleen & Spoon |Techies"
		"npc_dota_hero_winter_wyvern"	"Auroth |Winter Wyvern"
		"npc_dota_hero_arc_warden"		"Zet |Arc Warden"
		"npc_dota_hero_monkey_king"	"Sun WuKong |Monkey King"
		"npc_dota_hero_pangolier"		"Donte Panlin |Pangolier"
		"npc_dota_hero_dark_willow"		"Mireska |Dark Willow"

		
		
	// Hero Tooltips
		
		
	// PUDGE
	
		"DOTA_Tooltip_ability_pudge_meat_hook"											"<font color=\"#DE8930\">Meat Hook</font>"
		"DOTA_Tooltip_ability_pudge_meat_hook_Description"								"Launches a chained hook which drags the first unit it hits back to the user, damaging and stunning on impact.<br><br>Does not stun or damage allied units.<br><br>UPGRADEABLE: <font color=\"#0000FF\">Aghanim's Scepter</font>"
		"DOTA_Tooltip_ability_pudge_meat_hook_Note0"									"Meat Hook can go through terrain."
		"DOTA_Tooltip_ability_pudge_meat_hook_Note1"									"<br>Can Target?<br>BKB: Yes, but stun is blocked."
		"DOTA_Tooltip_ability_pudge_meat_hook_Note2"									"Invisible: Yes."
		"DOTA_Tooltip_ability_pudge_meat_hook_Note3"									"Runes: Yes, also refunds mana."
		
		"DOTA_Tooltip_ability_pudge_rot"												"<font color=\"#A3C00F\">Rot</font>"
		"DOTA_Tooltip_ability_pudge_rot_Description"									"Releases a toxic cloud that damages and slows nearby enemy units.<br><br>Rot deals full damage to Pudge and disables some items.<br><br>Does not interrupt your channeled spells."
		"DOTA_Tooltip_ability_pudge_rot_Note0"											"Silenced: Cannot toggle spell on or off.\nCan Target?"
		"DOTA_Tooltip_ability_pudge_rot_Note1"											"Invisible: Yes."
		"DOTA_Tooltip_ability_pudge_rot_Note2"											"Lethal: Can kill the caster."
		"DOTA_Tooltip_ability_pudge_rot_Note3"											"Cancels the following items:\nClarity\nSalve\nUrn (Heal)\nBlink Dagger"

		"DOTA_Tooltip_ability_pudge_flesh_heap"											"<font color=\"#eed1b0\">Flesh Heap</font>"
		"DOTA_Tooltip_ability_pudge_flesh_heap_Description"								"Whenever Pudge kills an enemy hero or a nearby enemy hero dies, Flesh Heap gains a stack. Stacks of Flesh Heap are retroactive, granting the current level bonus once the skill is learned.<br><br>Grants resistance to magical damage."
		"DOTA_Tooltip_ability_pudge_flesh_heap_Note0"									"Stacks multiplicatively with other sources of magic resistance."
		"DOTA_Tooltip_ability_pudge_flesh_heap_Note1"									"Kill Distance: 1600 max range"

		"DOTA_Tooltip_ability_pudge_dismember"											"<font color=\"#E34F4F\">Dismember</font>"
		"DOTA_Tooltip_ability_pudge_dismember_Description"								"<font color=\"#257DAE\">CHANNELED</font> - Devours an enemy unit, stunning and damaging it while healing Pudge.\nSound is global and audible to enemies."
		"DOTA_Tooltip_ability_pudge_dismember_Note0"									"Heal is independent of damage dealt."
		"DOTA_Tooltip_ability_pudge_dismember_Note1"									"Can Target?\nBKB: Yes, but deals no damage.\nLinkens: Blocks entire spell."
		"DOTA_Tooltip_ability_pudge_dismember_dismember_damage"							"DAMAGE/HEAL PER SECOND:"
		
		
	// PHANTOM ASSASSIN
	
	
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_Description"				"<font color=\"#F9FF9E\">TRUESTRIKE</font> - Throws a dagger that triggers an attack against an enemy and slows its movement speed.\nApplies on-hit effects (melee).<br><br>Grants <font color=\"#FFFFFF\">Flying Vision.</font><br>SIGHT DURATION: 3"
		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_Note0"					"Can Target?\nBKB: Deals damage only.\nEthereal: Applies slow only\nLinkens: Blocked if primary target."

		"DOTA_Tooltip_ability_phantom_assassin_phantom_strike_Description"				"<font color=\"#167C13\">MOBILITY</font> - Teleports to a unit. Grants temporary attack speed against an enemy target."
		"DOTA_Tooltip_ability_phantom_assassin_phantom_strike_Note0"					"The attack speed bonus lasts either 4 seconds or for 4 successful attacks, whichever is shorter.\nMissed attacks do not count against the attack limit.\nThe attack speed bonus is lost instantly upon successfully attacking a different target."

		"DOTA_Tooltip_ability_phantom_assassin_blur_Description"						"Grants evasion from enemy attacks.\nWhile no heroes are near, Phantom Assassin is hidden from the minimap."
		"DOTA_Tooltip_ability_phantom_assassin_blur_Note0"								"Stacks multiplicatively with other sources of Evasion."
		"DOTA_Tooltip_ability_phantom_assassin_blur_bonus_evasion"						"%EVASION:"
		"DOTA_Tooltip_ability_phantom_assassin_blur_radius"								"MAP VANISH RADIUS:"
		
		"DOTA_Tooltip_ability_phantom_assassin_coup_de_grace"							"Coup de Grace"
		"DOTA_Tooltip_ability_phantom_assassin_coup_de_grace_Description"				"Grants a critical strike that deals devastating physical damage."
		"DOTA_Tooltip_ability_phantom_assassin_coup_de_grace_Note0"					"Stacks multiplicatively with other sources of critical strike.\nCritical strikes are prioritized by highest damage multiplier."
	
	
	// MIRANA
		
		
		"DOTA_Tooltip_ability_mirana_starfall"											"Starstorm"
		"DOTA_Tooltip_ability_mirana_starfall_Description"								"Radiant stars fall near Mirana dealing damage to nearby enemy units. The closest enemy unit  will be struck a second time for 75%% reduced damage.\nMAX DAMAGE: 131 / 262 / 394 / 525<br>SECONDARY RADIUS: %starfall_secondary_radius%\nUPGRADEABLE: <font color=\"#0000FF\">Aghanim's Scepter</font>"
		"DOTA_Tooltip_ability_mirana_starfall_Note0"									"Can Target?\nBKB: No.\nLinkens: Not Blocked.\nInvisible: No."
		"DOTA_Tooltip_ability_mirana_starfall_Note1"									""
		"DOTA_Tooltip_ability_mirana_starfall_Note2"									"The second star will recast if the original target died before impact."
		"DOTA_Tooltip_ability_mirana_starfall_starfall_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_mirana_starfall_interval_scepter"							"SCEPTER INTERVAL:"
		"DOTA_Tooltip_ability_mirana_starfall_aghanim_description"						"Passively triggers Starstorm periodically. Does not trigger if the enemy cannot see Mirana."
		
		"DOTA_Tooltip_ability_mirana_arrow"												"Sacred Arrow"
		"DOTA_Tooltip_ability_mirana_arrow_Description"									"Fires a long-range arrow that stuns and damages the first enemy unit it strikes. The damage and stun are increased the farther the arrow travels.<br><br>Instantly kills non-ancient creeps.<br><br>Grants <font color=\"#FFFFFF\">Flying Vision.</font>\nMAX DAMAGE: 190 / 280 / 370 / 460"
		"DOTA_Tooltip_ability_mirana_arrow_Note0"										"Sacred Arrow ignores Terrain.\n\nCan Target?\nBKB: No.\nLinkens: Not Blocked\nInvisible: Yes."
		"DOTA_Tooltip_ability_mirana_arrow_Note1"										"The arrow reaches its full potential at 1500 distance."
		"DOTA_Tooltip_ability_mirana_arrow_arrow_range"									"RANGE:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_min_stun"								"MINIMUM STUN:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_max_stun"								"MAXIMUM STUN:"
		"DOTA_Tooltip_ability_mirana_arrow_arrow_bonus_damage"							"MAXIMUM BONUS DAMAGE:"

		"DOTA_Tooltip_ability_mirana_leap"												"Leap"
		"DOTA_Tooltip_ability_mirana_leap_Description"									"<font color=\"#167C13\">MOBILITY</font> - Mirana's pet leaps forward with a ferocious roar that grants bonus attack and movement speed.\nAlways leaps forwards.\nSPEED DURATION: %leap_bonus_duration% seconds."
		"DOTA_Tooltip_ability_mirana_leap_Note0"										"Speed duration applies instantly and not upon landing.\nMirana can turn, attack, and use items while leaping."
		"DOTA_Tooltip_ability_mirana_leap_leap_distance"								"DISTANCE:"
		"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus"								"%MOVEMENT BONUS:"
		"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus_as"							"ATTACK SPEED BONUS:"
		"DOTA_Tooltip_ability_mirana_leap_max_charges"									"MAX CHARGES:"
		"DOTA_Tooltip_ability_mirana_leap_charge_restore_time"							"CHARGE REPLENISH TIME:"
				
		"DOTA_Tooltip_ability_mirana_invis"												"Moonlight Shadow"
		"DOTA_Tooltip_ability_mirana_invis_Description"									"Turns Mirana and all allied heroes invisible and grants movement speed. If a hero is revealed, invisibility will return for the duration of the spell."
		"DOTA_Tooltip_ability_mirana_invis_Lore"										"Her tenure with Selemene allows Mirana to eclipse the ground, wrapping her allies in a cloak of shadows."
		"DOTA_Tooltip_ability_mirana_invis_Note0"										"Units affected will not auto attack enemies."
		"DOTA_Tooltip_ability_mirana_invis_Note1"										"Does not affect Illusions.\nFade delay resets on breaking invisibility."
		"DOTA_Tooltip_ability_mirana_invis_fade_delay"									"FADE DELAY:"
		"DOTA_Tooltip_ability_mirana_invis_duration"									"DURATION:"
		"DOTA_Tooltip_ability_mirana_invis_bonus_movement_speed"						"%MOVEMENT SPEED:"
		
		
	// SPIRIT BREAKER

	
		"DOTA_Tooltip_ability_spirit_breaker_charge_of_darkness"					"Charge of Darkness"
		"DOTA_Tooltip_ability_spirit_breaker_charge_of_darkness_Description"		"<font color=\"#167C13\">MOBILITY</font> - Spirit Breaker fixes his sight on an enemy unit and starts charging unhindered by terrain.  All enemy units passed through and the targeted unit will be hit by Greater Bash."
		"DOTA_Tooltip_ability_spirit_breaker_charge_of_darkness_Note0"				"If the targeted unit dies, the charge will change targets to the nearest enemy unit in 4000 range.\nThe charge indicator is visible only to allies.\nMovement from this ability is Forced Movement and does not change Spirit Breaker's movement speed."
		"DOTA_Tooltip_ability_spirit_breaker_charge_of_darkness_Note1"				"Spirit Breaker gains shared vision of the target."
		"DOTA_Tooltip_ability_spirit_breaker_charge_of_darkness_Note2"				"Can Target?\nLinkens: Blocked if primary target."
		"DOTA_Tooltip_ability_spirit_breaker_charge_of_darkness_movement_speed"		"CHARGE SPEED:"
		"DOTA_Tooltip_ability_spirit_breaker_charge_of_darkness_stun_duration"		"STUN DURATION:"
		
		"DOTA_Tooltip_ability_spirit_breaker_empowering_haste"								"Empowering Haste"
		"DOTA_Tooltip_ability_spirit_breaker_empowering_haste_Description"					"Spirit Breaker's presence increases the movement speed of nearby allied units. Can be activated to grant additional movement speed."
		"DOTA_Tooltip_ability_spirit_breaker_empowering_haste_bonus_movespeed_pct_self"		"%BONUS MOVE SPEED SELF:"
		"DOTA_Tooltip_ability_spirit_breaker_empowering_haste_bonus_movespeed_pct_allies"	"%BONUS MOVE SPEED ALLIES:"
		"DOTA_Tooltip_ability_spirit_breaker_empowering_haste_aura_radius"					"AURA RADIUS:"
		"DOTA_Tooltip_ability_spirit_breaker_empowering_haste_bonus_movespeed_pct_extra"	"%CAST ADDED BONUS SPEED:"
		"DOTA_Tooltip_ability_spirit_breaker_empowering_haste_duration"						"CAST ADDED SPEED DURATION:"
		
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash"							"Greater Bash"
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash_Description"				"Gives a chance to stun and knockback on attack, dealing a percentage of his movement speed as magical damage.<br>Grants extra movement speed on bash."
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash_Note0"					"Does not stack with Skull Basher.\nBKB: Stuns, but deals no damage."
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash_chance_pct"				"%CHANCE TO BASH:"
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash_damage"					"%MOVESPEED AS DAMAGE:"
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash_knockback_duration"		"KNOCKBACK DURATION:"
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash_duration"					"STUN DURATION:"
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash_bonus_movespeed_pct"		"%BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash_movespeed_duration"		"SPEED DURATION:"
		
		"DOTA_Tooltip_ability_spirit_breaker_nether_strike"							"Nether Strike"
		"DOTA_Tooltip_ability_spirit_breaker_nether_strike_Description"				"Spirit Breaker slips into the nether realm, reappearing behind the target and causing a Greater Bash with bonus damage.\nKnocks back for double the normal distance.\n\n<font color=\"#0000FF\">UPGRADEABLE: </font>Aghanim's Scepter"
		"DOTA_Tooltip_ability_spirit_breaker_nether_strike_Note0"					"Cant Target?\nBKB: Stuns, but deals no damage.\nLinkens: Blocked."
		"DOTA_Tooltip_ability_spirit_breaker_nether_strike_damage"					"BONUS DAMAGE:"
		"DOTA_Tooltip_ability_spirit_breaker_nether_strike_tooltip_range"			"RANGE:"
		"DOTA_Tooltip_ability_spirit_breaker_nether_strike_cast_range_scepter"		"SCEPTER RANGE:"
		"DOTA_Tooltip_ability_spirit_breaker_nether_strike_bash_radius_scepter"		"SCEPTER BASH RADIUS:"
		"DOTA_Tooltip_ability_spirit_breaker_nether_strike_cooldown_scepter"		"SCEPTER COOLDOWN:"
		"DOTA_Tooltip_ability_spirit_breaker_nether_strike_aghanim_description"		"Causes the Greater Bash to hit an area around the initial target, decreases cooldown, and increases cast range."
		
		
	// OGRE MAGI
	
	
		"DOTA_Tooltip_ability_ogre_magi_fireblast"									"<font color=\"#EEF10D\">Fireblast</font>"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_Description"						"Blasts an enemy unit with a wave of fire, dealing damage and stunning the target.<br><br>MULTICAST INTERVAL: %multicast_delay%"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_Note0"							""
		"DOTA_Tooltip_ability_ogre_magi_fireblast_Note1"							""
		"DOTA_Tooltip_ability_ogre_magi_fireblast_stun_duration"					"STUN DURATION:"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_fireblast_damage"					"FIREBLAST DAMAGE:"
		
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast"						"<font color=\"#0099FF\">Unrefined Fireblast</font>"
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_Description"			"Blasts an enemy unit with a wave of fire, dealing damage and stunning the target.<br>Always costs 60%% of current mana.<br><br>MULTICAST INTERVAL: %multicast_delay%<br><br>Granted by <font color=\"#0000E3\">Aghanim's Scepter.</font>"
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_Note0"					"Can be cast even at 0 mana."
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_stun_duration"			"STUN DURATION:"
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_fireblast_damage"		"FIREBLAST DAMAGE:"
		
		"DOTA_Tooltip_ability_ogre_magi_ignite"										"<font color=\"#DE8930\">Ignite</font>"
		"DOTA_Tooltip_ability_ogre_magi_ignite_Description"							"Drenches a target in flaming oils, causing enemy to take damage over time and move slower."
		"DOTA_Tooltip_ability_ogre_magi_ignite_Note0"								"Multicast makes this spell has an area of effect."
		"DOTA_Tooltip_ability_ogre_magi_ignite_Note1"								"Multicast makes this spell has additional cast range for every Multicast level."
		"DOTA_Tooltip_ability_ogre_magi_ignite_Note2"								"When multicast this spell can hit enemy units up to 1400 range away."
		"DOTA_Tooltip_ability_ogre_magi_ignite_burn_damage"							"BURN DAMAGE:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_duration"							"DURATION:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_slow_movement_speed_pct"				"%SLOW:"
		
		"DOTA_Tooltip_ability_ogre_magi_bloodlust"									"<font color=\"#E34F4F\">Bloodlust</font>"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_Description"						"Incites a friendly unit into a frenzy, increasing its attack and movement speeds.<br><br>Can be cast on structures."
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_Note0"							"When multicast, this spell can affect nearby allies in an 575 range."
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_Note1"							"Can be cast on Spell Immune allies."
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_Note2"							""
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_duration"							"DURATION:"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_bonus_movement_speed"				"%BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_bonus_attack_speed"				"BONUS ATTACK SPEED:"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_self_bonus"						"SELF BONUS ATTACK SPEED:"
		
		"DOTA_Tooltip_ability_ogre_magi_multicast"									"<font color=\"#F9FF9E\">Multicast</font>"
		"DOTA_Tooltip_ability_ogre_magi_multicast_Description"						"Enables Ogre Magi a chance to cast his spells multiple times with each use, while also granting his spells greater potency:\n<font color=\"#EEF10D\">Fireblast</font> has its cooldown decreased, and it may cast multiple times against the same enemy when used.\n<font color=\"#0099FF\">Unrefined Fireblast</font><br>It may it may cast multiple times against the same enemy when used.<br>Requires <font color=\"#0000E3\">Aghanim's Scepter.</font>\n<font color=\"#DE8930\">Ignite</font> hits enemies in an area around the initial target, its range is increased, and it may cast multiple times onto random nearby enemies when used.\n<font color=\"#E34F4F\">Bloodlust</font> has its cooldown reduced, and it may cast multiple times on random nearby allies when used."
		"DOTA_Tooltip_ability_ogre_magi_multicast_multicast_Note0"					"Each chance to multicast is independent.<br>The highest multiplier is prioritized."
		"DOTA_Tooltip_ability_ogre_magi_multicast_multicast_2_times_tooltip"		"%2X CAST CHANCE:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_multicast_3_times_tooltip"		"%3X CAST CHANCE:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_multicast_4_times_tooltip"		"%4X CAST CHANCE:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_fireblast_cooldown"				"FIREBLAST COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_ignite_aoe"						"IGNITE RADIUS:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_ignite_cast_range"				"IGNITE CAST RANGE INCREASE:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_bloodlust_aoe"					"BLOODLUST RADIUS:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_bloodlust_cooldown"				"BLOODLUST COOLDOWN REDUCTION:"
		
		
	// EARTHSHAKER
	
	
		"DOTA_Tooltip_ability_earthshaker_fissure"										"Fissure"
		"DOTA_Tooltip_ability_earthshaker_fissure_Description"							"Earthshaker slams the ground, creating an impassible wall of stone. Enemies hit by the fissure are stunned and damaged."
		"DOTA_Tooltip_ability_earthshaker_fissure_fissure_range"						"FISSURE RANGE:"		
		"DOTA_Tooltip_ability_earthshaker_fissure_fissure_duration"						"FISSURE DURATION:"
		"DOTA_Tooltip_ability_earthshaker_fissure_stun_duration"						"STUN DURATION:"								
		"DOTA_Tooltip_ability_earthshaker_fissure_Note0"								"Creeps will not attempt to walk around Fissure and will instead wait for it to disappear."
		"DOTA_Tooltip_ability_earthshaker_fissure_Note1"								"Fissure is not blocked by Linken's Sphere."
		
		"DOTA_Tooltip_ability_earthshaker_enchant_totem"								"Enchant Totem"
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_Description"					"<font color=\"#F9FF9E\">TRUESTRIKE</font> - Empowers Earthshaker's totem, causing his next attack to deal massive bonus damage.<br><br>UPGRADEABLE: <font color=\"#0000FF\">Aghanim's Scepter</font>"
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_Note0"							"Percent damage bonus is based on primary attribute."
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_Note1"							"Self-cast with Scepter will make the spell occur without jumping."
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_Note2"							""
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_totem_damage_percentage"		"%BONUS:"
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_tooltip_duration"				"DURATION:"
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_distance_scepter"				"SCEPTER JUMP DISTANCE:"
		"DOTA_Tooltip_ability_earthshaker_enchant_totem_aghanim_description"			"Enchant Totem gains the ability to leap 900 range, activating the spell cast where he lands.<br><br>Self-cast with Scepter will make the spell occur without jumping."
		
		"DOTA_Tooltip_ability_earthshaker_aftershock"									"Aftershock"
		"DOTA_Tooltip_ability_earthshaker_aftershock_Description"						"Causes the earth to shake underfoot when Earthshaker uses hero abilities, stunning and damaging nearby enemy units."
		"DOTA_Tooltip_ability_earthshaker_aftershock_Note0"								"Using items does not trigger Aftershock."
		"DOTA_Tooltip_ability_earthshaker_aftershock_aftershock_range"					"RADIUS:"
		"DOTA_Tooltip_ability_earthshaker_aftershock_tooltip_duration"					"DURATION:"
		
		"DOTA_Tooltip_ability_earthshaker_echo_slam"									"Echo Slam"
